id,code,institution,problem_statement
121,BV799,"Central Ground Water Board (CGWB), Ministry of Jal Shakti","With ever-increasing urban population growth and expanding area coverage, many water utilities in India struggling to provide clean drinking water to their consumers. Water supply issues are related to sources and usage of raw water; intermittent water supply and the quality of tap water at the consumers’ end. One of the major challenge facing is the high level of water loss in distribution networks. “Non-Revenue Water” (NRW) is defined as the difference between the amount of water put into the distribution system and the amount of water recovered from consumers. NRW is a good indicator for water utility performance; high levels of NRW typically indicate a poorly managed water utility. In addition, available NRW data are often found problematic, suspicious, inaccurate, or provide only partial information. Despite of knowing the benefits of reducing NRW, decades of effort have not delivered much improvement in India. Lack of support for comprehensive NRW management by 691788/2021/e-Governance Section 20/30 2 utility owners and chief executive officers makes it difficult to motivate utility staff and provide them with the means (funding, training, and technology) to successfully and sustainably reduce NRW. Hence, there is a need to develop a system or technology to trace and tackle non-revenue water and convert it into revenue water using digital methods. This will save water as well as increase profitability and improves the return on investment w.r.t water distribution networks."
122,BV800,"Central Ground Water Board (CGWB), Ministry of Jal Shakti","Problem Statements: A large quantity of floating trash is finding its way into the urban drainage systems from where it is potentially able to travel via the urban drain, streams, rivers, lakes and estuaries until it eventually reaches the open sea. A prototype artificial intelligence enabled robotic trash boat can be developed which can harvest floating trash from urban drain. The trash boat can be operated online/remotely. Prerequisites: • Weight and type of harvested trash • Location, Geo-tagged Photograph, Video • Easy to operate Solution: • Develop an aquatic drone/ trash boat • Handled/ controlled by mobile app • Live operational monitoring on geo web portal like Bhuvan Ganga Geoportal https://bhuvan.nrsc.gov.in/governance/mowr_ganga.php"
123,RK1111,"Central Water Commission (CWC), Ministry of Jal Shakti","Web-based system for dissemination of flood forecasts was operationalized by CWC in 2014 with information being made available on near real time basis (Ref: https://ffs.tamcnhp.com/). In addition to this, CWC has partnered with Google to disseminate the flood warning through its Public Alert platform. An additional channel to reach out to the end beneficiaries is through deployment of real time messaging service of flood forecasts soon after their generation with opt-in option for end users as well as provision for blanket area specific messaging in affected areas. End beneficiaries can in turn help in crowd sourcing of information related to inundation with geo tagged as well as time stamped images and information related to water levels. Such crowd sourced data can help in ground truthing of inundation for known events of floods which will enable in future endeavours of generation of flood inundation forecasts and flood plain zonation."
124,BV802,Ministry of Housing and Urban Affairs,"Urban flooding is significantly different from rural flooding as urbanization leads to developed catchments, which increases the flood peaks from 1.8 to 8 times and flood volumes by up to 6 times. Consequently, flooding occurs very quickly due to faster flow times (in a matter of minutes). Urban areas are densely populated and people living in vulnerable areas suffer due to flooding, sometimes resulting in loss of life. It is not only the event of flooding but the secondary effect of exposure to infection also has its toll in terms of human suffering, loss of livelihood and, in extreme cases, loss of life.Increasing trend of urban flooding is a universal phenomenon and poses a great challenge to urban planners the world over. Predicting the extent of calamity requires lots of parameters like rainfall, vegetation etc. Improper disposal of solid waste, including domestic, commercial and industrial waste and dumping of construction debris into the drains also contributes significantly to reducing their capacities. It is imperative to take better operations and maintenance actions.The main objective of this problem is to help the city managers or urban residents in for predicting the impact of urban flooding and can help them to take preventive action."
125,BV803,Ministry of Housing and Urban Affairs,"Slums have posed a huge problem for development because they are by definition areas in which the inhabitants lack fundamental resources and capabilities such as adequate sanitation, improved water supply, durable housing or adequate living space. Many governments have tried to find solutions to the problem, and one of the proposed solutions is slum upgrading. Slum upgrading is essentially a strategy in which the infrastructure of a slum is improved, such as giving adequate water supply and sewage to the community. Additionally, because of the tenuous legal status of slum inhabitants, often strategies include the legalization of the right to the land on which slums are built.Slum improvement has been a challenge for the country. Poverty, unavailability of urban land for building affordable housing, paucity of data leads to rise in slums in the country. In order to make our country healthy, inclusive and prosperous a strong approach is needed for the redevelopment of slums. Technology can play a major role in meeting the shortcomings of the data, monitoring and controlling the spread of epidemic etc. and regularise the slum settlement.This problem aims for an innovative approach for the redevelopment of the slum areas in order to avoid growth of slums in future and a technical solution to monitor and control the growth of slums in present time."
126,BV804,Ministry of Housing and Urban Affairs,"India’s property tax collection is 0.2% of its gross Domestic Product (GDP), well below the proportion in other countries such as the US and Canada where property tax is 3-4% of the GDP. Among other factors for low property tax collection, India’s ULB’s, especially smaller municipalities and Nagar palika’s are constrained with the capacities to effectively administer a property tax.An innovative approach to property tax administration is needed to help bridge the resource gap in the revenue raising capacity of ULB’s. For small ULB’s that lack to participation to facilitate low cost and high cost revenue collection in the ULB’s and integrates with the state municipal tax collection platform is needed."
127,BV805,Ministry of Housing and Urban Affairs,"The second largest populated country in the world, India faces various hindrances to its development. Solid Waste Management is of critical concern and needs attention. Whereas many developed countries are searching for ready-made sustainable waste management solutions. The solid wastes have become a major consequence of development, modernization and urbanization. Solid waste includes useless, unwanted, discharged materials that is not liquid or gas.  The solid waste affects the natural environment to a great extent and pose a serious threat as these materials remain in one particular place or a relatively longer period of time unless removed, burned or washed away.  In this respect, solid waste has been identified as significant matter for sustainable development. Growth in population and change in lifestyle has led to an increase in solid waste generation. Both the residential and commercial waste are in solid or semi solid form. Safe and cost-effective solid waste management is a great challenge for the modern society. It is estimated that 40% of the waste remains uncollected.This research aims for a technical solution for the management of solid wastes by providing visibility on city sanitation, route planning for garbage collection, resource optimization, air quality measurements, visibility of bins in order to maximize the waste collection."
128,BV806,Ministry of Housing and Urban Affairs,"It’s hard to pinpoint the invention of the electric car to one inventor or country. Instead it was a series of breakthroughs -- from the battery to the electric motor -- in the 1800s that led to the first electric vehicle on the road. In the early part of the century, innovators in Hungary, the Netherlands and the United States -- including a blacksmith from Vermont -- began toying with the concept of a battery-powered vehicle and created some of the first small-scale electric cars. And while Robert Anderson, a British inventor, developed the first crude electric carriage around this same time, it wasn’t until the second half of the 19th century that French and English inventors built some of the first practical electric cars. Here in the U.S., the first successful electric car made its debut around 1890 thanks to William Morrison, a chemist who lived in Des Moines, Iowa. His six-passenger vehicle capable of a top speed of 14 miles per hour was little more than an electrified wagon, but it helped spark interest in electric vehicles.Under the EV rollout plan the power ministry is targeting 4 billion plus population cities under the EV policy initiative. The success of EV adoption hinges upon successful deployment of EV charging infrastructure. Location analysis for EV charging stations helps optimize utilisation and maximize benefits that include the number of EVs in the area and grid infrastructure. The core of the problem is demand and supply.The objective is to develop a sharing charging model to solve the location problem for EV charging stations."
129,BV807,Ministry of Housing and Urban Affairs,"According to the WHO, in 2012 ambient air pollution contributed to 6.7 % of all deaths worldwide. In particular, 16% of lung cancer deaths, 11% of chronic obstructive pulmonary disease deaths, and more than 20% of ischaemic heart disease and stroke are associated with ambient fine particulate matter. The economic cost of the approximate 600 000 premature deaths and of the diseases caused by air pollution in the WHO European Region in 2010 has been estimated in Euro 1.5 trillion.People in Delhi/NCR are having their annual tryst with the deadly winter air pollution where toxic clouds of smog engulf this region every year around the winter months. Contributing to nearly 30% of winter air pollution in Delhi, stubble burning across the nearby states of Punjab, Haryana is attributed as one of the major factors for the existence of Air Pollution in the region during this period.The main objective is to suggest an unique approach to address the urban air pollution using Technology."
130,BV808,Ministry of Housing and Urban Affairs,"The journey of EVs started a long time ago. During the first half of the 19th century, the exploration of electrical automobiles started by several researchers of the United States, Netherlands, and Hungary. The researches lead to the invention of the first EV practical prototype by Robert Anderson.India has been a major importer of crude oil. In the year 2019-20 the import bill was around $100 billion which is a huge strain on the country’s exchequer. One possible solution to this is the augmented use of alternative fuels. Since the production of biofuels is abundance in India and it requires minimal infrastructural changes for large scale adoption, it can serve as a much easier solution to the issue. But the creation of supply chain for regular use of Biofuels is still in nascent stage.Emphasising on electric mobility suggest a proper way for the creation of supply chain for the consistent use of Biofuels."
131,BV809,Ministry of Housing and Urban Affairs,"Before the Covid-19 crisis, the public transport sector saw opportunities to explore novel approaches to boost ridership around the world. However, more people on the transport network presented issues such as overcrowding, pressure on the public transport infrastructure and the subsequent poor quality of service. Then, around late 2019 - early 2020, an outbreak of the Covid-19 virus was deemed a pandemic, forcing most countries into a complete lockdown for a few months. Imposing physical distancing on public transport vehicles is unrealistic in the long-term for obvious reasons. The urgent need to create safe spaces for both passengers and transport workers while restoring faith in mass transport has provided an exceptional incentive for our solution: Moving towards a different time schedule for some economic and social activities to distribute peak commute hours and better manage the demand in public transport networks.The current COVID situation has pulled people back to the personalized modes of transport which would lead to further worsening of traffic congestion issues along with the financial stress for the public transport companies for maintaining the regular operations. Stretching back the peak hours and maintaining higher frequencies during these stretched hours can help in reducing the crowd in the public transport. The main objective of this research is to provide an improvised solution to minimize the crowd in the public transport and managing peak load."
132,BV810,Ministry of Housing and Urban Affairs,"Though the COVID-19 pandemic is reported to have reduced air pollution and environmental-related noise and improved biodiversity and tourist sites, however, the impact of stay-at-home and preventive measures on waste management is alarming. Due to the stockpiling of gloves, gowns, masks and other protective clothing and equipment, there appears to be a waste emergency due to the unusual production of waste from both households and health facilities. Failure to properly manage the waste generated from health facilities and households may escalate the spread of COVID-19 via secondary transmission. The potential rampant dumping, open burning and incineration could affect air quality and health outcomes due to the exposure to toxins. The COVID pandemic has brought with it adversities with many dimensions, on such dimension is the improper and unscientific disposal of personal protection equipment such as masks, plastic body covers, face shields etc. This is putting an additional strain on the city authorities, who were already grappling with single use plastic menace. Thus, there exists a challenge of managing unusual waste sustainably using available waste facilities while reducing air pollution, preventing secondary viral transmission and mitigating potential health risk . Besides, there could be serious consequences for developing countries without standard waste management technologies and waste emergency policies to curb the pandemic.This research aims at providing a proper way for the disposal of COVID protection equipment in order to reduce its various impact on the environment."
133,BV811,Ministry of Housing and Urban Affairs,"The COVID-19 Pandemic has affected educational systems worldwide, leading to the near-total closures of schools, early childhood education and care (ECEC) services, universities and colleges. Most governments decided to temporarily close educational institutions in an attempt to reduce the spread of COVID-19. New online programs have shifted the labour of education from schools to families and individuals, and consequently, people everywhere who relied on schools rather than computers and home life have had more difficulty accessing their education. The impact was more severe for disadvantaged children and their families, causing interrupted learning, compromised nutrition, childcare problems, and consequent economic cost to families who could not work. In response to school closures, UNESCO recommended the use of distance learning programmes open educational applications and platforms that schools and teachers can use to reach learners remotely and limit the disruption of education.Smart classrooms has been an extremely innovative idea in improving the ways of educating the newer generation. However, with the onset of COVID, the very premise of school education has gone for a toss. Many schools have come up with technological solutions for distance learning and several online education platforms have been offering plethora of courses at premium prices. Although, the affluent classes of the society may choose to opt from these options but the economically weaker section have nothing affordable for their children.The main objective of this research is to develop an effective way to provide education to the economically weaker sections of the country during these challenging times of COVID-19."
134,BV812,Ministry of Housing and Urban Affairs,"Public transportation systems include a variety of transit options such as buses, light rail, and subways. These systems are available to the general public, may require a fare, and run at scheduled times. The purpose of introducing or expanding public transportation is to increase access to and use of public transit while, at the same time, reducing motor vehicle miles driven and traffic congestion. Public transportation is one of the essential services operating during the coronavirus disease (COVID-19) pandemic. This pandemic and related restrictions led to major transit demand decline for many public transit systems.The (COVID-19) pandemic had a large impact on Public transport. Many countries advised that public transport should only be used when essential; passenger numbers fell drastically, and services were reduced. Provision of a reasonable service for the much smaller number of fare-paying passengers incurred large financial losses. Researchers investigate for safe ways of public transport during the COVID-19 pandemic. A study finds that mandatory face masks and social distancing can allow for relatively safe public transport. But still people fear to use the public transports.Students are expected to suggest certain unique ideas that can make the use of public transport more even during these challenging times."
135,BV813,Ministry of Housing and Urban Affairs,"Public spaces are key element of individual and social well-being, the places of a community’s collective life, expressions of the diversity of their common, natural and cultural richness and a foundation of their identity. Key obstacles to inclusive approaches to street vending management in cities are the perceptions and misconceptions of the role that street vendors play. Informed by and responding to the common set of arguments used to exclude street vendors.Street vendors may contribute to congestion and grime but so do pedestrians, vehicles, the general public – and city governments that fail to regulate traf?c and provide sanitation services. While informally traded food and drink can pose public health risks, vendors would welcome more hygienic working conditions to attract customers and to ensure the safety of their goods. Moreover, where public sanitation services are not available, vendors often clean their areas of operation. In many cities, street vendors self-monitor and self-manage their vending sites to reduce congestion, crime, grime, and public health risks. Even after all these things they have to compromise on the Urban design and face a lot of things.The main objective of this task is to help the street vendors to get included in the public space development without compromising on the urban designing.Students are expected to suggest more improvised and redefined solution for conserving and reusing the rain water and reduce the water demand at source."
136,BV814,Ministry of Housing and Urban Affairs,"It is nearly impossible to trace back to which civilization used the method of rainwater harvesting first, but evidence shows that the basic design of these systems often involved a large rock formed into a basin using clay and other rocks to seal it from leaking. And then, using different diversion tactics, water would be stored and used for drinking, washing, agriculture and more. There began to be issues with the historic way of collecting rain. As civilizations grew, the cisterns would become more and more contaminated. This lead to the spreading of diseases since the modern technology was not available to remove bacteria. As countries became more developed, centralized water utilities began to sprout and became the primary source for all water needs.The age of rainwater harvesting has not reached its peak. Many farms continued to use rainwater cisterns for feeding livestock. And as technology developed in water treatment abilities, people started to use rainwater in their homes as the primary source of water yet again. Though Rain water is a lifeline there are lack of effective approaches in the current set up to conserve ,store and re use the rain water and reduce water demand at source.The main objective of this task is to help the city managers to adopt the decentralized approach of waste water management."
137,BV815,Ministry of Housing and Urban Affairs,"""Centralized wastewater systems are the most widely applied in well-developed urban environments and the oldest approach to the solution of the problems associated with wastewater. They collect wastewater in large and bulk pipeline networks, also referred as sewerage which transport it at long distances to one or several treatment plants. Storm water can be collected in either combined sewers or in a separate storm water drains. The latter consists of two separate pipeline systems, one for the wastewater and one for the storm water. The treated effluent is disposed in different ways, most often discharged into natural water bodies. The treated effluent may also be used for beneficial purposes and in this case it is referred as reclaimed water. The main difference between decentralized and centralized systems is in the conveyance structure. In decentralized systems the treatment and disposal or reuse of the effluent is close to the source of generation. This results in a small conveyance network, in some cases limited only to one pipeline. The size of the network allows for applications of different conveyance methods, in addition to the well-known gravity sewers, such as pressurized sewers and vacuum sewers. The quantity of the effluent is low and is characterized by significant fluctuations.Across pan India Mega/Metro cities are maintaining the centralised sewerage treatment
plants but most of the treatment plants could not attains its threshold limits always, either
it is under or over loaded. In the dynamic growth of the cities, adding any newly developed area in sustainability the existing system is time consuming process.
In locations with developed infrastructure, decentralized wastewater systems could be a viable alternative of the conventional centralized system, especially in cases of upgrading or retrofitting existing systems. Many different combinations and variations of hybrid systems are possible. The development of new treatment technologies allows for decentralized solutions, which are technically and aesthetically sound and acceptable.Sewerage blockage is one of the biggest challenges for the city managers in their day to day city operations.The main objective is to obtain effective solutions to overcome the above stated problem."""
138,BV816,Ministry of Housing and Urban Affairs,"Sewage treatment(or domestic wastewater treatment, municipal wastewater treatment) is a type of wastewater treatment which aims to remove contaminants from sewage to produce an effluent that is suitable for discharge to the surrounding environment or an intended reuse application, thereby preventing water pollution from raw sewage discharges. Sewage contains waste water from households and businesses and possibly pre-treated Industrial waste water. There are a high number of sewage treatment processes to choose from. These can range from decentralized systems. (including on-site treatment systems) to large centralized systems involving a network of pipes and pump stations (called sewerage) which convey the sewage to a treatment plant."
139,GR817,"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).","""Development of a software interface for extracting subset from the original satellite data  based on box (latitude and longitude selection). The user should be able to extract data of  his area of interest & format of his choice. 
Input: Satellite Data: various products (HDF5 format) 
Output:  
1. Latitude Longitude Selection: Selection on Map and Selecting by manually  entering corner coordinates. 
2. Format: HDF5, NetCDF, ASCII, Grib, GeoTIFF. 
3. Platform: Linux (Red Hat) and Windows. 
Sample Dataset required: Yes, Will be provided through dedicated link or through  ftp mode."""
140,GR818,"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).","""Development of an app for dissemination of satellite imagery data in jpeg format of INSAT 3D and INSAT-3DR from central server placed in Satellite Meteorology Division on real  time basis. The app should have user selection features such that: 
1. Satellite Selection,  
2. Payload Selection,  
3. Channel selection, 
4. Sector selection,  
5. Product Selection,  
6. Date &Time Selection 
Animation feature should also be provided in app with the data of at least last two days,  along with user selection features as mentioned above on the lines of RAPID  (http://rapid.imd.gov.in/). 
The app should be able to run on Android/Windows/MAC OS. 
Sample Dataset required: Yes, file names and sample jpeg imageries will be provided  through dedicated link or through ftp mode."""
141,GR819,"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).","""Development of a software interface for converting the original Radar data based on Radar Site. The user should be able to extract data of his area of interest & format of his  choice. 
Input: HDF5, NetCDF, BEL Format,  
Output:  
4. Format: HDF5, NetCDF, ASCII,BUFR,IRIS RAW 
5. Platform: Centos  
Sample Dataset required: Yes, Will be provided through dedicated link or through  ftp mode. 
Sample Dataset required: Yes, file names and sample jpeg imageries will be  provided through dedicated link or through ftp mode."""
142,GR820,"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).","""Development of a module/algorithmwith interface for generating the original Radar  volume scanfile to VVP Product.The user should be able to extract data of his area of  interest & format of his choice. 
Input: HDF5,BEL Format,  
Output:  
1. Format: HDF5,IRIS product , jpeg ,txt 
2. Platform: Centos  
Sample Dataset required: Yes, Will be provided through dedicated link or through  ftp mode. 
Sample Dataset required: Yes, file names and sample jpeg imageries will be  provided through dedicated link or through ftp mode."""
143,GR821,"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).","""Development of bias corrected temperature forecast from NWP model for selected cites of  India using AI/ML  
Input:  
1. Model simulated temperature over selected cities (Ascii Format), 
2. Observed temperature data (Ascii Format).  
Output:  
6. Bias corrected temperature.  
7. Format:ASCII 
8. Platform: Linux/Windows. 
Sample Dataset required: Yes, Will be provided through dedicated link or through  ftp mode."""
144,GR822,"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).","""Development of hourly visibility forecast using NWP model productsand past observation  for the next 12/24 hours using ANN/ML/DL for selected airports in the country.  
Input:  
1. Model simulated Temperature, Wind Speed, Wind Direction, Humidity (ASCII  Format) 
2. Observed visibility data (Met report) from selected Airport (ASCII) 
Output:  
1. Hourly visibility product for 12/24 hours 
2. Format: ASCII 
3. Platform: Linux/ Windows. 
Sample Dataset required: Yes, Will be provided through dedicated link or through  ftp mode."""
145,GR823,"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).","""Development of Convolutional neural network (CNN) based deep learning model for Non Residential built-up cluster detection from latest medium resolution satellite images  including ESA (Sentinel-2, European Space Agency), NASA (Landsat-8, National Aeronautics and Space Administration) and ISRO (Resourcesat, Indian Space Research Organisation).  Solution of the problem should contain: 
1- Development of training, testing and validation set 
2- Designing a deep learning based CNN architecture which require less number of  training samples 
3- Implementation of the model for four highly populated Indian cities (Mumbai, Delhi,  Bangalore and Kolkata)"""
146,NK824,"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).","""Problem/Current Situation: Marine environment is risky but livelihood for millions in our country. Fishermen with smaller boats are in significant numbers. These boats may overturn with adverse sea-state even at the smaller scale. While INCOIS provides Ocean State Forecast (OSF) for the seafaring community in general, the tolerance threshold for smaller boats may be different than larger boats or ships.
Solution Needed: AI-ML may be utilized for automated identification/flagging of the region where there is a danger for small boat movement. INCOIS may provide OSF output data as sample to work on the coding.
Reference Link: https://incois.gov.in"""
147,NK825,"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).","""forts, INCOIS has developed SARAT (Search-And-Rescue-Aid-Tool) which makes use of various sea-state conditions (e.g. surface currents) to predict the drift of the lost personnel or asset, from a known point of origin. This tool, though useful, needs further improvement.
Solution Needed: AI-ML may be used to improve the SARAT predictions by taking up case-studies and their outcomes. INCOIS may provide data on such case-studies/simulations/exercises to work on the coding related to better outputs.
Reference Link: https://incois.gov.in"""
148,NK826,"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).","""Problem/Current Situation: INCOIS is providing Marine Fishery Advisory Services to the fishermen. To evaluate it’s accuracy and in order to develop species-specific advisories it is necessary to collect the fish-catch information at the species level. While fisherfolk are supportive to these efforts, often species level catch reporting is having hinderances due to several reasons pertaining to manual efforts which results to low or erroneous reporting.
Solution Needed: Hackathon teams may develop AI-ML based tool for image-based identification of fish-species found in the Indian seas. The images of fishes may be taken from online image searches. Similar tools are provided in reference links below. INCOIS will be able to use this for it’s fishermen feedback app, where fishermen need to take a photo of fishes caught and fish-identification will be done through code, minimizing the manual intervention.
Datasets Link (If any): https://lens.linne.ai/en/, https://fishbase.in/"""
149,NK827,"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).","""Indian and ASEAN countries are located on global oil takner oceanic superhighway. This route also has sensitive ecosystems such as coral reefs and seagrass meadows in the vicinity. The environmental impact of an oil spill from a tanker ship is well documented. Oil Spills do not occur instataneously. There are events e.g. machinary malfunction that lead to such disasters. Before a spill occurs the crew might be well aware of the challenging situation and often spend time in avoiding such an event. During such times, the ship movement behavior may change from its normal pattern i.e. travelling at a predicted speed towards the port of call. At present, however there is no mechanism that can look into such patterns and predict a potential spill event to mitigate it in timely manner.
While the tankers have AIS and the systems are 'on', only predictive models can help flag unusual behavior that need to be monitored. An open-source based solution (R, QGIS w/ GRASS) could consist of a model that feeds on the tanker AIS data. AI/ML/NN (Artificial Intelligence / Machine Learning / Neural Network) based system can assess the fresh AIS data with the historical data of a) the given ship, b) the given type of cargo menifested and c) the given region to flag any pattern (ship course, speed etc) that is unusual. Such mechanism will help the monitoring agencies by narrowing down the region to utilize SAR (Synthetic Aperture Radar) data (satellite or drone based) and thus, can invoke faster mitigation response. Such a solution would cater to multiple of UN-SDGs and UNDOSSD objectives.
SAR data from satellites such as Sentinnel, R codes from GitHub""

Data set- SAR data from satellites such as Sentinnel, R codes from GitHub"
150,NK828,"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).","""Emerging economies of Asia are looking to Solar power generation as key to their independance from imported energy resources. Even for fossil fuel-rich countries, climate sensitivity and targets are motivation to switch to alternate energy resources such as solar power. This ratio is poised to get further improve due to rollout of electric vehicles. Solar power genertaion capacity of a country depends on many factors. Since Asian countries such as India and ASEAN are within tropics, the day length is not a major concern for any part of the year. With governments facilitating rooftop solar model within the grids, gigentic areas for solar panel installation aren't mendatory. This leaves the air quality (haze) that determines what wavelengths and intensity of sunlight is received at ground level. Air pollutants have many sources, natural as well as anthropogenic. For both, the source need not to be near same place or even country. Massive duststorms or wildfires have been known to spread the haze across the continent. Due to solar power installation being at the base of it's exponential, it is not yet clear if and at what scale the air quality impacts on solar power generation.
Solar insolation data and climatology (long-term averages) at global scale is available. Air quality data is available from satellite platforms such as NASA-MODIS series satellites on daily scale. This satellite data can be processed with open access software. A solution would look into available solar power generation data and correlate it with parameters such as Aerosol Optical Depth, to estimate the impact of AOD to solar power generation capacity. This can further be expressed in terms of electricity costing, to put a price tag that a plant has to pay due to bad air quality.
Dataset- https://oceancolor.gsfc.nasa.gov/"""
151,NK829,"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).","""Problem/Current Situation:
Many countries may not have robust marine fishery reporting mechanicms at place and rely on self-reporting from the fishermen. Even with fishermen willing to, this may not be suitable for country/EEZ level studies especially in Asian context where thousands of smaller boats operate rather than limited large corporate fishing vessels. It is important for researchers, policy makers and security agencies alike to know where these boats prefer to fish at what time of the year.
Solution Needed:
The data from AIS can be used but there are limited tools to import such data in interactive manner with the help of GIS. Further, many countries may have at harbor reporting mechanisms but not 'at-ground' reporting. Such tool can mitigate such a shortfall. Analysis of AIS may include clustering the data based on flag of country origin, repeated visit to the same location of fishing etc. Trend for an individual vessel may be pulled to map movement history, to be linked with reported catch later. There can be provision to import satellite data or to export the AIS analysis data into GIS formats (e.g. KML files) to be used in other GIS platforms.
Datasets Link (If any):
https://globalfishingwatch.org/"""
152,NK830,"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).","""AIS is a useful system that helps avoiding ship collision and allows managers for fleet management especially for emergencies e.g. adverse sea conditions. Vessels keep the AIS beacons on in order to stay safe. However, sometime the vessels do not transmit. The reasons for this may be unknown. As much as the AIS activity data are important, the inactivity data can also be put to use to understand the possible reasons behind such behavior and if needed, respond in the appropriate manner.
The interactive tool should be able to categorize the AIS inactivity episodes for a single vessel or multiple vessels in a selected region. Further, the data may be classified based on the ship behavior prior to the inactivity, as well as based on various inactivity parameters such as location, time and duration of inactivity.
https://globalfishingwatch.org/"""
153,NK831,"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).","""Marine fishery is very dynamic in nature. During active season landing of fish may be overwhalming for a manual monitoring. At the same time, taking que of the fish landing is important for researchers and administrators. Manual reporting is limited with sample size, often too small, that lead to high level of errors and prone to wrong extrapolation for meaningful fish stock assessment. This calls for automation to be only feasible method to overcome limitations of manual monitoring and reporting.
The manual mode may rather be used to better train computer algorithms. A solution should focus on image recognition for species made available in the database. Over the time the database may get richer and thus, making the machine learning better. Such a system should envision cameras installed at the harbours and weigh-bridges, where species may be identified by AI and their propotion (in mixed catch) can be estimated, in order to report the captured biomass effectively and with minimal manual intervention. At present, the catch effort is often the weakest link in stock assessment model. Such harbor based systems may reduce the errors significantly. Another use is to integrate the cloud-based algorithms to help report catch through app(s) where all a fisherman need to do is to click the photo of the catch and enter the estimated catch weight."""
154,PK832,Ministry of Electronics and Information Technology (MEITY).,"""UIDAI has deployed a large number of Enrolment Stations across India to collect residents’ demographic details.  Along with the resident demographic information, UIDAI captures supporting documents of the resident for Enrolment and Update purposes.  In production, the enrolment application makes use of an external Scanner to capture the document and perform pre-processing. 

You have to design a document capture system sans the scanner, which will integrate the Smartphone of the Operator with the Web-based Enrolment application of the UIDAI. The Smartphone will image the document and share it with the portal for subsequent pre-processing. Pre-processing on the document includes brightness/contrast correction, contour detection, and alignment correction and it would be handled in the web portal. The document captured through the Smartphone must not be stored in the local Phone memory for privacy purposes.
 
The interaction between the Web portal and the Smartphone can be based on any industry-standard protocol or interface. For the solution demonstration purpose, the participating team can create a Website to perform pre-processing.

As part of the hackathon, you are expected to deliver following:-
Portal using any JavaScript-based technology to capture the document through a Smartphone.
Integration of the Smartphone with the Portal. Necessary android app to interface with the portal and perform imaging of the document.
Pre-processing of the document using the web portal. Pre-processing scope enumerated above.
A dummy server-side API to upload the document."""
155,PK833,Ministry of Electronics and Information Technology (MEITY).,"UIDAI intends to use Chabot platform to create a conversational kind of update interface for residents. Through this conversational platform, the resident would provide all the relevant demographic details, supporting documents and payment in an interactive manner. The solution should have the facility for multi-lingual interaction with the Residents. The conversational platform would emulate the update feature available in the myAadhaar (www.myaadhaar.uidai.in) platform of UIDAI."
156,PK834,Ministry of Electronics and Information Technology (MEITY).,"""UIDAI has established Enrolment Centres across India for residents to enrol and Update. At these Enrolment Centres, residents do make nominal payment (amount fixed by UIDAI) for Updates (Demographics and Biometric). UIDAI has received a few complaints of overcharging by the Operators for the services rendered by them at the Enrolment Centres. This is required to be curbed through a Digital solution to collect the payment from the Residents. 

Digital payment-based solutions should be designed by the participating teams to ensure that there is no scope of overcharging by the operators. The solution must make use of Digital Payment technologies available, including AEPS for the collection of money from the Resident. The solution should have an exception mechanism to collect the Cash from the resident and it should be designed as the last resort and only for extreme exceptional cases. The solution must collect the money from the Operators in a digital manner and would transfer the amount to the Registrar/EA/Operator’s account at the end of the day or UIDAI defined interval. The solution must keep track of the transactions made by the Operators in a data store.

As part of the solution, the participating to provide the following:-
Process improvement to avoid cash collection at the Centre by the operator.
Integration of suitable Digital payment technology to collect money from the resident for the rendered service.
Safe recording of all the transactions in a data store for reconciliation.
End-of-day transfer of money to the Registrar/EA/Operator.
Exception handling through cash payment.

The solution is required to be inclusive so that it is usable and accessible by all the residents."""
157,PK835,Ministry of Electronics and Information Technology (MEITY).,"""Central and State Government agencies use the Aadhaar authentication platform for onboarding residents to the various schemes. As part of the process, they are required to store Aadhaar number in a secured manner to ascertain the beneficiary and deduplicate them for the schemes. 

You are required to design and implement a secure storage platform for Aadhaar number for consumer agencies (State and Central Govt) using any commoditised hardware and open source software. The solution should be secure enough to meet the standards of PCI DSS or Aadhaar Data Security. The solution must meet following features:-
Secure storage and retrieval of the Aadhaar number.
Querying of the Aadhara number for deduplciation purpose."""
